Publication Years	records	% of 2527
2021	22	0.871
2020	253	10.012
2019	231	9.141
2018	222	8.785
2017	197	7.796
2016	208	8.231
2015	199	7.875
2014	204	8.073
2013	174	6.886
2012	148	5.857
2011	99	3.918
2010	96	3.799
2009	87	3.443
2008	52	2.058
2007	48	1.899
2006	36	1.425
2005	35	1.385
2004	35	1.385
2003	31	1.227
2002	23	0.910
2001	32	1.266
2000	33	1.306
1999	15	0.594
1998	8	0.317
1997	7	0.277
1996	9	0.356
1995	3	0.119
1994	2	0.079
1993	3	0.119
1992	5	0.198
1991	4	0.158
1990	1	0.040
1989	2	0.079
1988	1	0.040
1985	1	0.040
1974	1	0.040
(0 records (0.000%) do not contain data in the field being analyzed.)
