Publication Years	records	% of 641
2021	3	0.468
2020	48	7.488
2019	61	9.516
2018	54	8.424
2017	41	6.396
2016	40	6.240
2015	47	7.332
2014	33	5.148
2013	29	4.524
2012	35	5.460
2011	46	7.176
2010	24	3.744
2009	19	2.964
2008	21	3.276
2007	14	2.184
2006	12	1.872
2005	11	1.716
2004	15	2.340
2003	18	2.808
2002	9	1.404
2001	9	1.404
2000	7	1.092
1999	6	0.936
1998	7	1.092
1997	9	1.404
1996	9	1.404
1995	3	0.468
1994	5	0.780
1992	1	0.156
1986	1	0.156
1985	1	0.156
1981	1	0.156
1962	1	0.156
1935	1	0.156
(0 records (0.000%) do not contain data in the field being analyzed.)
