Publication Years	records	% of 1949
2021	20	1.026
2020	135	6.927
2019	133	6.824
2018	141	7.234
2017	138	7.081
2016	116	5.952
2015	141	7.234
2014	121	6.208
2013	142	7.286
2012	103	5.285
2011	90	4.618
2010	69	3.540
2009	85	4.361
2008	78	4.002
2007	58	2.976
2006	37	1.898
2005	51	2.617
2004	45	2.309
2003	40	2.052
2002	27	1.385
2001	21	1.077
2000	19	0.975
1999	24	1.231
1998	19	0.975
1997	19	0.975
1996	35	1.796
1995	17	0.872
1994	10	0.513
1993	6	0.308
1992	4	0.205
1991	2	0.103
1990	1	0.051
1926	1	0.051
1919	1	0.051
(0 records (0.000%) do not contain data in the field being analyzed.)
