,institution,year,author,title,ENTRYTYPE,ID,file,pages,keywords,journal,urldate,number,language,abstract,doi,url,shorttitle,issn,volume,copyright,type,address,month,publisher,annote,note,pmid,isbn,editor,booktitle,series,link
1,National Bureau of Economic Research,2001,"Carroll, Christopher D",The epidemiology of macroeconomic expectations,techreport,carroll2001epidemiology,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.econ2.jhu.edu/people/ccarroll/epidemiologySFI.pdf
2,,2000,"LeBaron, Blake",Agent-based computational finance: {Suggested} readings and early research,article,lebaron_agent-based_2000,ScienceDirect Full Text PDF:/Users/Myworld/Zotero/storage/CECVEIFQ/LeBaron - 2000 - Agent-based computational finance Suggested readi.pdf:application/pdf;ScienceDirect Snapshot:/Users/Myworld/Zotero/storage/9A5SJ7SJ/S0165188999000226.html:text/html,679--702,"Learning, Agents, Evolution, Heterogeneous information, Simulated markets",Journal of Economic Dynamics and Control,2020-02-01,5,en,"The use of computer simulated markets with individual adaptive agents in finance is a new, but growing field. This paper explores some of the early works in the area concentrating on a set of some of the earliest papers. Six papers are summarized in detail, along with references to many other pieces of this wide ranging research area. It also covers many of the questions that new researchers will face when getting into the field, and hopefully can serve as a kind of minitutorial for those interested in getting started.",10.1016/S0165-1889(99)00022-6,http://www.sciencedirect.com/science/article/pii/S0165188999000226,Agent-based computational finance,0165-1889,24,,,,,,,,,,,,,http://www2.econ.iastate.edu/tesfatsi/blake.SuggestedRead.pdf
3,,2013,"Pfajfar, Damjan and Santoro, Emiliano",News on {Inflation} and the {Epidemiology} of {Inflation} {Expectations},article,pfajfar_news_2013,Full Text PDF:/Users/Myworld/Zotero/storage/9P2UR48R/Pfajfar and Santoro - 2013 - News on Inflation and the Epidemiology of Inflatio.pdf:application/pdf;Snapshot:/Users/Myworld/Zotero/storage/IEQZM338/jmcb.html:text/html,1045--1067,"C53, D84, E31, inflation, information stickiness, news on inflation, survey expectations","Journal of Money, Credit and Banking",2020-02-01,6,en,"This paper examines the nexus between news coverage on inflation and households’ inflation expectations. In doing so, we test the epidemiological foundations of the sticky information model (Carroll ). We use both aggregate and household-level data from the Survey Research Center at the University of Michigan. We highlight a fundamental disconnection among news on inflation, consumers’ frequency of expectation updating, and the accuracy of their expectations. Our evidence provides at best weak support to the epidemiological framework, as most of the consumers who update their expectations do not revise them toward professional forecasters’ mean forecast.",10.1111/jmcb.12043,https://onlinelibrary.wiley.com/doi/abs/10.1111/jmcb.12043,,1538-4616,45,© 2013 The Ohio State University,,,,,,,,,,,,https://www.jstor.org/stable/23463591
4,,2009,"Nunes, Ricardo",On the {Epidemiological} {Microfoundations} of {Sticky} {Information}*,article,nunes_epidemiological_2009,Full Text PDF:/Users/Myworld/Zotero/storage/XLJWCNP7/Nunes - 2009 - On the Epidemiological Microfoundations of Sticky .pdf:application/pdf;Snapshot:/Users/Myworld/Zotero/storage/7RBSIVA2/j.1468-0084.2009.00560.html:text/html,643--657,"D84, E31",Oxford Bulletin of Economics and Statistics,2020-02-01,5,en,"We estimate and compare two models in which households periodically update their expectations. The first model assumes that households update their expectations towards survey measures. In the second model, households update their expectations towards rational expectations (RE). While the literature has used these specifications indistinguishably, we argue that there are important differences. The two models imply different updating probabilities, and the data seem to prefer the second one. We then analyse the properties of both models in terms of mean expectations, median expectations, and a measure of disagreement among households. The model with periodical updates towards RE also seems to fit the data better along these dimensions.",10.1111/j.1468-0084.2009.00560.x,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1468-0084.2009.00560.x,,1468-0084,71,Published 2009. This article is a US Government work and is in the public domain in the USA,,,,,,,,,,,,https://dash.harvard.edu/bitstream/handle/1/3415324/Mankiw_StickyInformationVersus.pdf
5,Social Science Research Network,2013,"Menz, Jan-Oliver and Poppitz, Philipp",Households' {Disagreement} on {Inflation} {Expectations} and {Socioeconomic} {Media} {Exposure} in {Germany},techreport,menz_households_2013,Snapshot:/Users/Myworld/Zotero/storage/QAKPTR89/papers.html:text/html,,"Demographic Heterogeneity, Household-Specific Inflation Rates, Inflation Expectations and Perceptions, News Media Effects, System Estimation",,2020-02-01,ID 2796919,en,"Inflation expectations are often found to depend on socioeconomic and demographic characteristics of households, such as age, income and education, however, the reasons for this systematic heterogeneity are not yet fully understood. Since accounting for these expectation differentials could help improve the communication strategies of central banks, we test the impact of three sources of the demographic dependence of inflation expectations using data for Germany. Overall, our findings suggest that household-specific inflation rates and group-specific news consumption accounts for the higher expectation gaps of younger and older households, households with lower income and unemployed survey respondents, while households' inflation perceptions only play a minor role.",,https://papers.ssrn.com/abstract=2796919,,,,,{SSRN} {Scholarly} {Paper},"Rochester, NY",,,,,,,,,,https://ideas.repec.org/p/zbw/bubdps/272013.html
6,,2015,"Reid, Monique",Inflation expectations of the inattentive general public,article,reid_inflation_2015,ScienceDirect Full Text PDF:/Users/Myworld/Zotero/storage/YEMRXWU8/Reid - 2015 - Inflation expectations of the inattentive general .pdf:application/pdf;ScienceDirect Snapshot:/Users/Myworld/Zotero/storage/XX7V68V6/S0264999314004696.html:text/html,157--166,"Central bank communication, Inattentive general public, Inflation expectation, Sticky information",Economic Modelling,2020-02-01,,en,"Academic literature on central bank communication has tended to treat a central bank's audience as a single group, represented by the financial markets. However, recognising that a central bank's audience is heterogeneous is advantageous for both modelling purposes and effective central bank communication. This paper focuses on the general public, for whom gathering and processing information are costly. The general public makes rational decisions that limit the time and resources they allocate to the task. As a result, aggregate inflation expectations of the public can be described as ‘sticky’ in that the spread of information about inflation through the economy is not instantaneous. Following Carroll (2003, 2006), epidemiological models are adopted to model the inflation expectations of the general public in South Africa and to estimate the speed at which they update their inflation expectations (information stickiness). Agent based models are then used to verify these estimates of information stickiness.",10.1016/j.econmod.2014.12.003,http://www.sciencedirect.com/science/article/pii/S0264999314004696,,0264-9993,46,,,,,,,,,,,,,https://ideas.repec.org/p/sza/wpaper/wpapers160.html
7,,2019,"Haldane, Andrew G. and Turrell, Arthur E.",Drawing on different disciplines: macroeconomic agent-based models,article,haldane_drawing_2019,Springer Full Text PDF:/Users/Myworld/Zotero/storage/2SAM6MF3/Haldane and Turrell - 2019 - Drawing on different disciplines macroeconomic ag.pdf:application/pdf,39--66,"A12, Agent-based, B22, B40, C63, Macroeconomics, Modelling",Journal of Evolutionary Economics,2020-02-01,1,en,"Macroeconomic modelling has been under intense scrutiny since the Great Financial Crisis, when serious shortcomings were exposed in the methodology used to understand the economy as a whole. Criticism has been levelled at the assumptions employed in the dominant models, particularly that economic agents are homogenous and optimising and that the economy is equilibrating. In a related paper (Haldane and Turrell Oxford Rev Econ Polic 34(1–2):219–251 2018), we argue that an interdisciplinary approach to modelling in macroeconomics is beneficial. Here we focus on what one such approach - agent-based modelling, which has been extensively used across a wide range of disciplines - could do for macroeconomics. Agent-based models are complementary to existing approaches to macroeconomics and are particularly well-suited to answering questions where complexity, heterogeneity, networks, and heuristics play an important role.",10.1007/s00191-018-0557-5,https://doi.org/10.1007/s00191-018-0557-5,Drawing on different disciplines,1432-1386,29,,,,March,,,,,,,,,https://ideas.repec.org/a/spr/joevec/v29y2019i1d10.1007_s00191-018-0557-5.html
8,,2017,"Hachem, Kinda and Wu, Jing Cynthia",Inflation {Announcements} and {Social} {Dynamics},article,hachem_inflation_2017,Full Text PDF:/Users/Myworld/Zotero/storage/4RFVHUDI/Hachem and Wu - 2017 - Inflation Announcements and Social Dynamics.pdf:application/pdf;Snapshot:/Users/Myworld/Zotero/storage/K9DFHIL5/jmcb.html:text/html,1673--1713,"E31, central bank communication, credibility, E37, E58, expectations heterogeneity, inflation targeting, social dynamics","Journal of Money, Credit and Banking",2020-02-01,8,en,"We propose a new framework for understanding the effectiveness of central bank announcements when firms have heterogeneous inflation expectations. Expectations are updated through social dynamics and, with heterogeneity, not all firms choose to operate, putting downward pressure on realized inflation. Our model rationalizes why countries stuck at the zero lower bound have had a hard time increasing inflation without being aggressive. The same model also predicts that announcing an abrupt target to disinflate will cause inflation to undershoot the target, whereas announcing gradual targets will not. We present new empirical evidence that corroborates this prediction.",10.1111/jmcb.12428,https://onlinelibrary.wiley.com/doi/abs/10.1111/jmcb.12428,,1538-4616,49,© 2017 The Ohio State University,,,,,,,,,,,,https://www.nber.org/system/files/working_papers/w20161/revisions/w20161.rev0.pdf
9,,1998,"Strang, David and Soule, Sarah A.",Diffusion in {Organizations} and {Social} {Movements}: {From} {Hybrid} {Corn} to {Poison} {Pills},article,strang_diffusion_1998,Full Text PDF:/Users/Myworld/Zotero/storage/85JWPZZ9/Strang and Soule - 1998 - Diffusion in Organizations and Social Movements F.pdf:application/pdf,265--290,,Annual Review of Sociology,2020-02-05,1,,"There has been rapid growth in the study of diffusion across organizations and social movements in recent years, fueled by interest in institutional arguments and in network and dynamic analysis. This research develops a sociologically grounded account of change emphasizing the channels along which practices flow. Our review focuses on characteristic lines of argument, emphasizing the structural and cultural logic of diffusion processes. We argue for closer theoretical attention to why practices diffuse at different rates and via different pathways in different settings. Three strategies for further development are proposed: broader comparative research designs, closer inspection of the content of social relations between collective actors, and more attention to diffusion industries run by the media and communities of experts.",10.1146/annurev.soc.24.1.265,https://doi.org/10.1146/annurev.soc.24.1.265,Diffusion in {Organizations} and {Social} {Movements},,24,,,,,,,,,,,,,https://www.annualreviews.org/doi/abs/10.1146/annurev.soc.24.1.265
10,,1962,"Rogers, Everett M and others",Diffusion of innovations.,article,rogers1962diffusion,,,,Diffusion of innovations.,,,,,,,,,,,,,,New York: Free Pr. of Glencoe.,,,,,,,,https://en.wikipedia.org/wiki/Diffusion_of_innovations
